"","SP500","DowJones","Nasdaq","FTSE100"
"2024-04-08",5202.39013671875,38892.80078125,16253.9599609375,7943.5
"2024-04-09",5209.91015625,38883.671875,16306.6396484375,7934.7998046875
"2024-04-10",5160.64013671875,38461.51171875,16170.3603515625,7961.2001953125
"2024-04-11",5199.06005859375,38459.078125,16442.19921875,7923.7998046875
"2024-04-12",5123.41015625,37983.23828125,16175.08984375,7995.60009765625
"2024-04-15",5061.81982421875,37735.109375,15885.01953125,7965.5
"2024-04-16",5051.41015625,37798.96875,15865.25,7820.39990234375
"2024-04-17",5022.2099609375,37753.30859375,15683.3701171875,7848
"2024-04-18",5011.1201171875,37775.37890625,15601.5,7877.10009765625
"2024-04-19",4967.22998046875,37986.3984375,15282.009765625,7895.89990234375
"2024-04-22",5010.60009765625,38239.98046875,15451.3095703125,8023.89990234375
"2024-04-23",5070.5498046875,38503.69140625,15696.6396484375,8044.7998046875
"2024-04-24",5071.6298828125,38460.921875,15712.75,8040.39990234375
"2024-04-25",5048.419921875,38085.80078125,15611.759765625,8078.89990234375
"2024-04-26",5099.9599609375,38239.66015625,15927.900390625,8139.7998046875
"2024-04-29",5116.169921875,38386.08984375,15983.080078125,8147
"2024-04-30",5035.68994140625,37815.921875,15657.8203125,8144.10009765625
"2024-05-01",5018.39013671875,37903.2890625,15605.48046875,8121.2001953125
"2024-05-02",5064.2001953125,38225.66015625,15840.9599609375,8172.2001953125
"2024-05-03",5127.7900390625,38675.6796875,16156.330078125,8213.5
"2024-05-06",5180.740234375,38852.26953125,16349.25,NA
"2024-05-07",5187.7001953125,38884.26171875,16332.5595703125,8313.7001953125
"2024-05-08",5187.669921875,39056.390625,16302.759765625,8354.099609375
"2024-05-09",5214.080078125,39387.76171875,16346.259765625,8381.400390625
"2024-05-10",5222.68017578125,39512.83984375,16340.8701171875,8433.7998046875
"2024-05-13",5221.419921875,39431.51171875,16388.240234375,8415
"2024-05-14",5246.68017578125,39558.109375,16511.1796875,8428.099609375
"2024-05-15",5308.14990234375,39908,16742.390625,8445.7998046875
"2024-05-16",5297.10009765625,39869.37890625,16698.3203125,8438.7001953125
"2024-05-17",5303.27001953125,40003.58984375,16685.970703125,8420.2998046875
"2024-05-20",5308.1298828125,39806.76953125,16794.869140625,8424.2001953125
"2024-05-21",5321.41015625,39872.98828125,16832.619140625,8416.5
"2024-05-22",5307.009765625,39671.0390625,16801.5390625,8370.2998046875
"2024-05-23",5267.83984375,39065.26171875,16736.029296875,8339.2001953125
"2024-05-24",5304.72021484375,39069.58984375,16920.7890625,8317.599609375
"2024-05-28",5306.0400390625,38852.859375,17019.880859375,8254.2001953125
"2024-05-29",5266.9501953125,38441.5390625,16920.580078125,8183.10009765625
"2024-05-30",5235.47998046875,38111.48046875,16737.080078125,8231.099609375
"2024-05-31",5277.509765625,38686.3203125,16735.01953125,8275.400390625
"2024-06-03",5283.39990234375,38571.03125,16828.669921875,8262.7998046875
"2024-06-04",5291.33984375,38711.2890625,16857.05078125,8232
"2024-06-05",5354.02978515625,38807.328125,17187.900390625,8247
"2024-06-06",5352.9599609375,38886.171875,17173.119140625,8285.2998046875
"2024-06-07",5346.990234375,38798.98828125,17133.130859375,8245.400390625
"2024-06-10",5360.7900390625,38868.0390625,17192.529296875,8228.5
